,Name,Link,Year,Publisher,Platform
25194,captain planet and the planeteers,https://www.uvlist.net/game-7638-Captain+Planet+and+the+Planeteers,1991,Mindscape ,NES
25195,captain planet and the planeteers,https://www.uvlist.net/game-17940-Captain+Planet+and+the+Planeteers,1991,Mindscape,Amiga
25196,captain planet and the planeteers,https://www.uvlist.net/game-46555-Captain+Planet+and+the+Planeteers,1991,Mindscape,Amstrad CPC
25197,captain planet and the planeteers ,https://www.uvlist.net/game-9632-Captain+Planet+and+the+Planeteers,1992,Sega;Tec Toy ,Mega Drive
25198,captain planet and the planeteers ,https://www.uvlist.net/game-40674-Captain+Planet+and+the+Planeteers,1991,Mindscape,Atari ST
25199,captain power and the soldiers of the future,https://www.uvlist.net/game-173646-Captain+Power+and+the+Soldiers+of+the+Future,1988,Box Office,Apple II E
25200,captain power and the soldiers of the future,https://www.uvlist.net/game-232074-Captain+Power+and+the+Soldiers+of+the+Future,1988,Box Office,MS-DOS
25201,captain power and the soldiers of the future,https://www.uvlist.net/game-271701-Captain+Power+and+the+Soldiers+of+the+Future,1988,Box Office,C64
25202,captain python,https://www.uvlist.net/game-12359-Captain+Python,?,?,ZX Spectrum
25203,captain quack: i pity the stool,https://www.uvlist.net/game-236848-Captain+Quack+I+Pity+the+Stool,TBA,Homeboy Games,Wii U
25204,captain quazar,https://www.uvlist.net/game-44115-Captain+Quazar,1996,The 3DO Company ,3DO
25205,captain quazar,https://www.uvlist.net/game-192520-Captain+Quazar,1997,Studio 3DO ,Windows
25206,captain rainbow,https://www.uvlist.net/game-190942-Captain+Rainbow,2008,Nintendo ,Wii
25207,captain rave!! ,https://www.uvlist.net/game-102867-Captain+Rave,1999,Toshiba EMI,PS
25208,captain rogers: asteroid belt of sirius ,https://www.uvlist.net/game-213861-Captain+Rogers+Asteroid+Belt+of+Sirius,2014,author,Linux
25209,captain sabertooth and the trials by fire,https://www.uvlist.net/game-264871-Captain+Sabertooth+and+the+Trials+by+Fire,2011,?,Nintendo DS
25210,captain safety,https://www.uvlist.net/game-247848-Captain+Safety,1995,Ad Games,MS-DOS
25211,captain saint,https://www.uvlist.net/game-159016-Captain+Saint,2006,3rd Day Studios,Windows
25212,captain scarlet,https://www.uvlist.net/game-198099-Captain+Scarlet,2006,Blast! Entertainment ,PS2
25213,captain seahawk,https://www.uvlist.net/game-19281-Captain+Seahawk,?,Atari,Arcade
25214,captain silver,https://www.uvlist.net/game-2873-Captain+Silver,1987,Data East,Arcade
25215,captain silver ,https://www.uvlist.net/game-9234-Captain+Silver,1988,Sega;Tec Toy ,Master System
25216,captain silver ,https://www.uvlist.net/game-157249-Captain+Silver,1988,Tokuma Shoten ,NES
25217,captain skyhawk,https://www.uvlist.net/game-7639-Captain+SkyHawk,1990,Milton Bradley ,NES
25218,captain slog,https://www.uvlist.net/game-191891-Captain+Slog,1986,CRL,ZX Spectrum
25219,captain smith ,https://www.uvlist.net/game-174466-Captain+Smith,1983,MIA,MICRO 7 - FM7
25220,captain spellright,https://www.uvlist.net/game-259959-Captain+SpellRight,1982,C.E.C.,Apple II E
25221,captain spleen,https://www.uvlist.net/game-226189-Captain+Spleen,1996,Colin Gagnon Software,MS-DOS
25222,captain spleen 2,https://www.uvlist.net/game-227072-Captain+Spleen+2,1997,Colin Gagnon Software,MS-DOS
25223,captain starlight,https://www.uvlist.net/game-34960-Captain+Starlight,1984,Data Media,C64
25224,captain starone,https://www.uvlist.net/game-272588-Captain+StarONE,2019,Flyhigh Works,Switch
25225,captain starship's test,https://www.uvlist.net/game-46556-Captain+Starships+Test,1986,?,Amstrad CPC
25226,captain sticky's gold,https://www.uvlist.net/game-255249-Captain+Stickys+Gold,1983,English Software;Dynamics Marketing,Atari 400/800
25227,captain strike: reloaded,https://www.uvlist.net/game-231393-Captain+Strike+Reloaded,?,JOY,Android
25228,captain toad: treasure tracker ,https://www.uvlist.net/game-233800-Captain+Toad+Treasure+Tracker,2014,Nintendo ,Wii U
25229,captain toad: treasure tracker ,https://www.uvlist.net/game-243801-Captain+Toad+Treasure+Tracker,2018,Nintendo ,3DS
25230,captain toad: treasure tracker ,https://www.uvlist.net/game-243802-Captain+Toad+Treasure+Tracker,2018,Nintendo ,Switch
25231,captain tomaday,https://www.uvlist.net/game-36859-Captain+Tomaday,1999,Visco,Neo-Geo
25232,captain tsubasa ,https://www.uvlist.net/game-98412-Captain+Tsubasa,1994,Tecmo,Mega-CD
25233,captain tsubasa ,https://www.uvlist.net/game-157129-Captain+Tsubasa,1988,Tecmo,NES
25234,captain tsubasa ,https://www.uvlist.net/game-196100-Captain+Tsubasa,2006,Bandai,PS2
25235,captain tsubasa ii: super striker ,https://www.uvlist.net/game-157130-Captain+Tsubasa+II+Super+Striker,1990,Tecmo,NES
25236,captain tsubasa iii: koutei no chousen ,https://www.uvlist.net/game-196656-Captain+Tsubasa+III+Koutei+no+Chousen,1992,Tecmo,SNES
25237,captain tsubasa iv pro no rival tachi ,https://www.uvlist.net/game-158417-Captain+Tsubasa+IV+Pro+no+Rival+Tachi,1993,Tecmo,SNES
25238,captain tsubasa j - zenkoku seiha heno chousen ,https://www.uvlist.net/game-168527-Captain+Tsubasa+J+Zenkoku+Seiha+Heno+Chousen,1995,Bandai,GB
25239,captain tsubasa j: get in the tomorrow ,https://www.uvlist.net/game-11046-Captain+Tsubasa+J+Get+in+the+Tomorrow,1996,Bandai,PS
25240,captain tsubasa j: the way to world youth ,https://www.uvlist.net/game-6519-Captain+Tsubasa+J+The+Way+to+World+Youth,1995,Bandai;NAS,SNES
25241,captain tsubasa rise of new champions ,https://www.uvlist.net/game-260002-Captain+Tsubasa+RISE+OF+NEW+CHAMPIONS,2020,Bandai Namco Entertainment ,Switch
25242,captain tsubasa v hasha no shogo campione ,https://www.uvlist.net/game-105862-Captain+Tsubasa+V+Hasha+no+Shogo+Campione,1994,Tecmo,SNES
25243,captain tsubasa vs ,https://www.uvlist.net/game-168722-Captain+Tsubasa+VS,1992,Tecmo,GB
25244,captain tsubasa: aratanaru densetsu joshou ,https://www.uvlist.net/game-102868-Captain+Tsubasa+Aratanaru+Densetsu+Joshou,2002,Konami,PS
25245,captain tsubasa: eikou no kiseki ,https://www.uvlist.net/game-101607-Captain+Tsubasa+Eikou+no+Kiseki,2002,Konami,GBA
25246,captain tsubasa: new kick off ,https://www.uvlist.net/game-224061-Captain+Tsubasa+New+Kick+Off,2010,Konami,Nintendo DS
25247,captain tsubasa: ougon sedai no chousen ,https://www.uvlist.net/game-104967-Captain+Tsubasa+Ougon+Sedai+no+Chousen,2002,Konami,GameCube
25248,captain tsubasa: rise of new champions,https://www.uvlist.net/game-262938-Captain+Tsubasa+Rise+of+New+Champions,2020,Bandai Namco Games ,PS4
25249,captain wesco,https://www.uvlist.net/game-46867-Captain+Wesco,2000,Westermann & Co;Spark-Design ,Windows
25250,captain zins,https://www.uvlist.net/game-106279-Captain+Zins,1994,Dresdner Bank ,MS-DOS
25251,captain zzap,https://www.uvlist.net/game-231380-Captain+Zzap,1986,Mastertronic,C64
25252,captains of the china trade,https://www.uvlist.net/game-256724-Captains+of+the+China+Trade,1989,Scholastic,Apple II E
25253,captive,https://www.uvlist.net/game-17759-Captive,1990,Mindscape,Amiga
25254,captive,https://www.uvlist.net/game-38713-Captive,1990,Mindscape ,Atari ST
25255,captive,https://www.uvlist.net/game-43244-Captive,1992,Mindscape,MS-DOS
25256,captive,https://www.uvlist.net/game-248012-Captive,1985,Mania-Soft,C64
25257,captive,https://www.uvlist.net/game-255250-Captive,1983,Interface Publications ,BBC
25258,captive of fortune,https://www.uvlist.net/game-231394-Captive+of+Fortune,?,Hosted Games,Android
25259,captive of the demon castle ,https://www.uvlist.net/game-262446-Captive+of+the+demon+castle,?,Neko no Kessha,NEC PC9801
25260,captive queens,https://www.uvlist.net/game-231381-Captive+Queens,1992,Loadstar,C64
25261,captivity,https://www.uvlist.net/game-197120-Captivity,1981,PDI Program Design,Atari 400/800
25262,captivo,https://www.uvlist.net/game-98352-Captivo,1991,ABC;Klackboard,Amiga
