,Name,Link,Year,Publisher,Platform
136,shin nihon pro wrestling: chou senshi in tokyo dome ,https://www.uvlist.net/game-153523-Shin+Nihon+Pro+Wrestling+Chou+Senshi+in+Tokyo+Dome,1993,Varie,SNES
137,shin nihon pro wrestling: toukon sanjushi ,https://www.uvlist.net/game-153520-Shin+Nihon+Pro+Wrestling+Toukon+Sanjushi,1993,Varie,GB
138,shin nihon prowrestling '94 ,https://www.uvlist.net/game-153521-Shin+Nihon+ProWrestling+94,1994,Varie,SNES
139,shin nihon prowrestling '95: tokyo dome battle 7 ,https://www.uvlist.net/game-153522-Shin+Nihon+ProWrestling+95+Tokyo+Dome+Battle+7,1995,Varie,SNES
140,shin nihon prowrestling toukon retsuden 3 arcade edition,https://www.uvlist.net/game-177946-Shin+Nihon+Prowrestling+Toukon+Retsuden+3+Arcade+Edition,1997,Tomy;Yukes,Arcade
141,shin nippon pro wresling '94 - battlefield in tokyo dome,https://www.uvlist.net/game-181758-Shin+Nippon+Pro+Wresling+94+Battlefield+in+Tokyo+Dome,1994,Varie,SNES
142,shin onimusha: dawn of dreams ,https://www.uvlist.net/game-155851-Shin+Onimusha+Dawn+of+Dreams,2006,Capcom ,PS2
143,shin ringetsu ,https://www.uvlist.net/game-275356-Shin+Ringetsu,2007,Selen,Windows
144,shin samurai spirits: haohmaru jigokuhen ,https://www.uvlist.net/game-1792-Shin+Samurai+Spirits+Haohmaru+Jigokuhen,1994,SNK,Neo-Geo
145,shin sangoku musou 3 ,https://www.uvlist.net/game-237957-Shin+Sangoku+Musou+3,2003,Koei ,Xbox
146,shin sangoku musou 4 ,https://www.uvlist.net/game-237958-Shin+Sangoku+Musou+4,2005,Koei ,Xbox
147,shin satomi hakkenden: hikari to yami no tatakai ,https://www.uvlist.net/game-218956-Shin+Satomi+Hakkenden+Hikari+to+Yami+no+Tatakai,1989,Toei ,NES
148,shin sd sengokuden - taishou gun retsuden,https://www.uvlist.net/game-181759-Shin+SD+Sengokuden+Taishou+Gun+Retsuden,1995,Interbec,SNES
149,shin sd sengokuden kidou musha taisen ,https://www.uvlist.net/game-109852-Shin+SD+Sengokuden+Kidou+Musha+Taisen,1996,Bandai ,PS
150,shin sedai robot senki: brave saga ,https://www.uvlist.net/game-102621-Shin+Sedai+Robot+Senki+Brave+Saga,1998,Takara ,PS
151,shin seiki evangelion 2: evangelions ,https://www.uvlist.net/game-170383-Shin+Seiki+Evangelion+2+Evangelions,2003,Bandai ,PS2
